id,status,notes,dso_id,ready_to_go
233,1,"> 50 stars, mag 8+.  Unconcentrated, very scattered.   In a rich field, with stars in several streams and clump, sort in the shape of a person standing with arms raised.",233,1
234,1,"Barely defined rectangular smudge.",234,1
235,1,"Central star mag 15.0.   Oval shape with inner and outer ring both with structure and bright patches.  Good with dual-band filters.   About Saturn-sized.",235,1
236,1,"Combination of emission and reflection nebula with prominent dust lanes.",236,1
237,1,"Strongly concentrated and detached;  ~80 stars, mag 7+.",237,1
238,1,"Concentrated, resolvable.",238,1
239,1,"Medium concentration but large halo of stars that can be resolved.  Possibly some color variation.",239,1
240,1,"Concentrated but with extended outer region that shows trails of stars like a pinwheel.",240,1
241,1,"Concentrated - the outer halo almost seems ""thin"" in comparison.",241,1
242,1,"Very concentrated.",242,1
243,1,"Over 200 stars, mag 8+, very concentrated.  Detached.",243,1
244,1,"50 stars, mag 10+, detached, unconcentrated.",244,1
245,1,"Detached and strongly concentrated.  About 30 stars, mag 10+.",245,1
246,1,"Unconcentrated, resolvable on the edges, slightly asymmetric.",246,1
247,1,"Asterism in a familiar shape.  Wide range of colors.",247,1
248,1,"Bright with structure.  Responds well to dual-band filters, also (to some extent) UV/IR cutoff filters.  Central star mag 13.9.",248,1
249,1,"60 stars (mag 9+), unconcentrated, somewhat detached, in a rich field.  Slightly elongated NE/SW.",249,1
250,1,"30 stars (mag 6.8 and fainter) no concentration, detached.",250,1
251,1,"Very LSB.  Very large.",251,1
252,1,"50 stars (mag 8.6 and fainter), detached, no concentration.   Best seen under low power, large FOV.",252,1
253,1,"Works best with a dual-filter O III  + Ha filter.   Small, oval-shaped.  Saturn-sized.",253,1
254,1,"About 70 stars, not detached from mag 10 and fainter.  Slight ring of fewer stars surrounds the cluster.",254,1
255,1,"Weakly concentrated, detached, 80 stars mag 10.7 and fainter.",255,1
256,1,"Detached, 50 stars mag 10 and fainter.  Pretty.",256,1
257,1,"Large complex nebulosity surrounding γ Cygni.   Includes emission and dark portions.",257,1
258,1,"Oval shaped with an arc-like extension to the NE side.    Not concentrated.  Rich field.",258,1
259,1,"High concentration of stars.  Small and round.",259,1
260,1,"",260,1
261,1,"An asterism of 4 stars mistaken as a DSO by Messier.   Mostly observed to ""complete"" one's observations of the entire Messier catalog.",261,1
262,1,"Highly-concentrated, not quite round.",262,1
263,1,"Triangular shaped, coarse collection of ~40 stars (mag 8.5+) somewhat detached against a faint field of MW stars.",263,1
264,1,"Large unconcentrated cluster of ~30 stars (mag 9+).
Bright (6th mag) red star HT Lac at northern edge.",264,1
266,1,"",266,1
267,1,"Large, uniformly dense cluster of 300 stars.",267,1
268,1,"About 80 stars from 11-15th magnitude, concentrated.",268,1
269,1,"Face-on galaxy with extended but somewhat ragged arms.   LSB.",269,1
270,1,"About 30 stars with several brighter ones (mag 9-12) at the center.",270,1
271,1,"Small concentration of a few medium bright stars (mag 10) and a scattering of faint stars.",271,1
272,1,"The cluster is large and dispersed.  The much fainter nebula is highly structured with bright shockwaves and dark lanes.",272,1
273,1,"Odd-shaped tight cluster of about 20 stars (mag 11-14).",273,1
274,1,"Shares the same FOV with NGC 146.",274,1
275,1,"Loose with ~30 stars mag ~8.5 and fainter.",275,1
276,1,"20 stars mag 10+ not well detached.",276,1
277,1,"Just a double star really.  Two galaxies in FOV to W: NGC 4284 has a bright core and very faint spiral structure;  NGC 4290 is mostly face-on with a double ring disk, and bright bar.",277,1
278,1,"Bright elongated elliptical surrounded by several companions (with an interesting line of them to the W, running roughly N/S).  No features.   The brightest companions are NGC 4464 (E3, 12' NW), NGC 4470 (SAab, 11' SSW) and NGC 4492 (SAa, 18' ENE).",278,1
279,1,"Grand design spiral - face-on with sweeping arms. Two small companions ~10' to NE and NW.",279,1
280,1,"Small, some concentration, resolved outer stars.",280,1
281,1,"Tight elongated spiral.  Two 12th magnitude stars are at the SE edge.",281,1
282,1,"Bright halo and bar.  Outer disk superimposed with the spiral arms.",282,1
283,1,"Almost edge on with a large center halo, a rim of a disk and a very prominent dust lane.
23' WSW is a line of color-contrasted 8th mag stars pointing towards the galaxy.",283,1
284,1,"Bright with a red color.   Can be resolved (slightly) with imaging scopes.  Jupiter-sized.",284,1
285,1,"Large and bright.  Two 10th mag stars are in the foreground which might make discerning the spiral structure challenging.",285,1
286,1,"About 60 stars from 11th magnitude and up.",286,1
287,1,"Very faint.",287,1
288,1,"",288,1
289,1,"Distant companion to M31, this dwarf galaxy will be a faint elongated patch of light.",289,1
290,1,"Brighter and easier than its counterpart, C 17, another satellite galaxy to M 31, with a fuzzy but defined core.",290,1
291,1,"Large cluster.  Dozens of small faint galaxies.",291,1
292,1,"Bright and elongated though largely featureless in the disk.",292,1
293,1,"Western segment of the Veil Nebula.   Observed best with O III and/or Ha filters under dark skies and low air mass.",293,1
294,1,"Elliptical in a fields of several dozen faint galaxies.",294,1
295,1,"30 unconcentrated stars, mag 6+.   Detached.",295,1
296,1,"Elongated.   Inner disk/halo has some structure (ring with an elongated core), though faint.",296,1
297,1,"Hyades.  Much larger than the FOV in most telescopes.   Best in binoculars.",297,1
298,1,"Edge-on bulgy core with dust lane.",298,1
299,1,"Small core with expansive S-shaped arms.",299,1
300,1,"Large spiral galaxy with bright distorted arms.    LSB makes it challenging.",300,1
301,1,"Cone-shaped reflection nebula.",301,1
303,1,"Bright and well-resolved.",303,1
304,1,"Bright, almost face-on with many arms that could get lost in the disk.",304,1
305,1,"Cluster at the heart of the Rosette Nebula.  Large brightness range (mag 6+, including 12 Monocerotis).   About 100 stars.",305,1
306,1,"LSB, member of the local group.   Irrregular.",306,1
307,1,"Elongated with a hazy halo and small bright nucleus.",307,1
308,1,"Highly concentrated, about 150 stars, mag 11+.",308,1
309,1,"Visually, traces of ring structure, central star mag 12.0.",309,1
310,1,"About 80 stars (mag 10+) detached.",310,1
