D00205	M 7
D00206	NGC 6503
D00207	M 9
D00208	NGC 6356
D00209	NGC 6293
D00210	M 19
D00211	M 62
F01418	Barnard 241
D00212	IC 4634
D00213	(greek) ρ
F01417	Barnard 42
D00214	IC 4592
D00215	NGC 5897
D00216	Cr 350
D00217	M 14
D00218	NGC 6366
D00219	IC 4665
D00220	NGC 6572
D00221	NGC 6633
D00222	IC 4756
D00223	M 8
F01479	Barnard 296
F00408	NGC 6530
F01624	Barnard 88
F01478	Barnard 89
D00224	M 22
D00225	M 25
D00226	M 23
D00227	M 24
F00892	Sh2 39
D00228	M 18
D00229	M 17
D00230	M 16
D00231	M 55
D00232	M 75
D00233	NGC 6774
D00234	NGC 6822
D00235	NGC 6818
D00236	M 20
D00237	M 21
D00238	M 28
D00239	NGC 6624
D00240	M 69
D00241	M 70
D00242	M 54
D00243	M 11
F01501	Barnard 108
F01502	Barnard 318
D00244	NGC 6664
D00245	M 26
D00246	NGC 6712
D00247	Cr 399
D00248	M 27
D00249	NGC 6940
D00250	M 39
D00251	NGC 7000
D00252	M 29
D00253	NGC 6826
D00254	NGC 6811
D00255	NGC 6866
D00256	NGC 6910
D00257	IC 1318
D00258	M 71
D00259	NGC 7006
D00260	M 72
D00261	M 73
D00262	M 15
F01672	Pease 1
D00263	NGC 7243
D00264	NGC 7209
D00266	NGC 7640
D00267	NGC 7789
D00268	NGC 6939
D00269	NGC 6946
D00270	NGC 7160
D00271	NGC 7235
D00272	NGC 7380
D00273	NGC 7510
D00274	NGC 133
F00592	NGC 146
D00275	NGC 129
D00276	NGC 744
D00277	M 40
F01552	NGC 4284
F00214	NGC 4290
D00278	M 49
F00241	NGC 4464
F00996	NGC 4465
F00997	NGC 4467
F01576	NGC 4466
F00998	NGC 4471
F00242	NGC 4470
F00243	NGC 4492
D00279	M 61
F00215	NGC 4292
F00216	NGC 4301
D00280	M 79
D00281	M 88
F00665	IC 3478
F00664	NGC 4516
D00282	M 91
D00283	M 104
D00284	NGC 40
