31	M 36	Pinwheel Cluster	AUR	B						Op. Cl.	II3m	05.6050	+34.140	6.3			10'	3	2	0	NGC 1960, Cr 71, Mel 37
30	M 37	January Salt & Pepper Cluster	AUR	B						Op. Cl.	II1r	05.8717	+32.551	6.2	11.22	1.4	24'	3	2	0	NGC 2099, Cr 75, Mel 38
29	M 38	Starfish Cluster	AUR	B						Op. Cl.	III2m	05.4786	+35.855	7.4	12.02	1.11	21'	3	2	0	NGC 1912, Cr 67, Mel 36
612	NGC 1893	Letter Y Cluster	AUR	I						Cl. + Neb.	II3rn	05.3793	+33.413	7.5	12.63	0.97	12'	3	4	0	Cr 63, Mel 33, IC 405, Sh2-236
28	C 31	Flaming Star Nebula	AUR	I						Ref. Neb.	3, 2, 3; I, BR	05.2681	+34.464	6.0	13.68	0.45	37' x 10'	3	3	0	IC 405, Sh2-229
169	NGC 1931	Fly Nebula	AUR	I						Ref. Neb.	3, 2, 3	05.5167	+34.250	10.1	12.85	0.76	3'	3	3	0	Cr 68, H400 61, Sh2-237
168	NGC 2281	Broken Heart Cluster	AUR	S						Op. Cl.	I3m	06.8047	+41.068	5.4	11.02	1.54	25'	3	2	0	Cr 116, Mel 51, H400 82
344	NGC 1664	4-H Cluster	AUR	B						Op. Cl.	III1p	04.8517	+43.675	7.6	13.22	0.73	18'	2	2	0	Cr 56, Mel 27, H400 56
623	NGC 2192		AUR	M						Op. Cl.	II2m	06.2552	+39.868	10.9	14.53	0.21	6'	1	1	0	Cr 86, Mel 42
838	NGC 1778		AUR	S						Op. Cl.	III2p	05.1349	+37.023	7.7	11.33	1.49		1	1	0	Cr 58
615	IC 417	Spider Nebula	AUR	I						Em. Neb.	3, 2, 3	05.4691	+34.421					1	2	0	Sh2-234
621	IC 2149		AUR	M						Plan. Neb.		05.9405	+46.106	10.78	7.98	2.83	22"	1	1	0	
1773	Sh2-235		AUR	I						Em. Neb.	3, 2, 3	05.6851	+35.839				10'	2	2	2	
1766	Sh2-226		AUR	I						Em. Neb.	3, 2, 3	05.1850	+37.977				2'	2	2	0	
354	NGC 2126		AUR	M						Op. Cl.	III2m	06.0437	+49.871	10.2	13.43	0.65	5'	2	2	0	Cr 78, Mel 39, H400 68
348	NGC 1907		AUR	S						Op. Cl.	I1mn	05.4683	+35.325	8.2	11.43	1.45	7'	2	2	0	Cr 66, Mel 35, H400 60
347	NGC 1857		AUR	S						Op. Cl.	I3m	05.3347	+39.290	7.0	11.51	1.42	9'	2	2	0	Cr 61, Mel 32, H400 59
300	C 45		BOO	I						Sp. Gal.	SAB(rs)bc	13.6256	+08.885	10.97	14.32	0.29	6.2' x 4.5'	3	3	0	NGC 5248, H400 293
196	NGC 5529		BOO	M						Sp. Gal.	3	14.2594	+36.227	12.8	13.53	0.55	3.8' x 0.6'	3	3	2	
2299	NGC 4731		BOO	I						Bar. Sp. Gal.	SBc	12.8502	-06.392	12.0	13.34	-0.02	4.0' x 1.1'	2	4	0	
195	NGC 5466	Snowglobe Cluster	BOO	S						Glob. Cl.	XII	14.0909	+28.534	9.7	13.95	0.38	11'	2	3	0	H400 298, Mel 124
2417	NGC 5859		BOO	I						Bar. Sp. Gal.	SBb	15.1260	+19.585	12.47	12.83	0.19	2.4' x 0.8'	1	2	1	
198	NGC 5676		BOO	I						Sp. Gal.	3	14.5463	+49.458	12.2	13.17	0.7	4.0' x 1.1'	1	2	0	H400 306
2398	NGC 5660		BOO	I						Sp. Gal.	Sc?	14.4966	+49.625	12.2	13.42	-0.05	2.4' x 1.6'	1	2	0	
2552	IC 1029		BOO	I						Galaxy		14.5403	+49.906	12.65	12.48	0.33	2.0' x 0.6'	1	1	1	
199	NGC 5689		BOO	I						Sp. Gal.	0	14.5921	+48.742	12.09	12.45	0.99	2.0' x 0.9'	2	2	4	H400 307
1055	NGC 1679		CAE	I						Irr. Gal.	SB/Ir	04.8324	-31.969	12.0	12.02	0.85		0	0	0	
285	C 7		CAM	M						Sp. Gal.	SAB(s)cd	07.6143	+65.602	8.9	14.71	0.0	21.9' x 12.3'	3	3	0	H400 99, NGC 2403
75	C 5	Hidden Galaxy	CAM	I						Sp. Gal.	SAB(rs)cd	03.7801	+68.096	9.1	15.46	-0.24	21.4' x 20.9'	2	3	0	IC 342
73	NGC 1502	Jolly Roger Cluster	CAM	B						Op. Cl.	II3p	04.1250	+62.332	6.9	10.86	1.6	20'	3	1	0	Cr 45, H400 50
74	NGC 1501	Camel's Eye Nebula	CAM	M						Plan. Neb.		04.1165	+60.921	11.5	10.92	1.58	52"	3	1	0	H400 49
622	NGC 2146	Dusty Hand Galaxy	CAM	M						Bar. Sp. Gal.	Sc	06.3106	+78.357	10.59	11.93	1.29	6.0' x 3.4'	3	3	1	
2022	NGC 2336		CAM	I						Bar. Sp. Gal.	SBc	07.4512	+80.173	12.51	15.52	-0.89	5.7' x 3.6'	3	3	0	
671	IC 3568	Lemon Slice Nebula	CAM	S						Plan. Neb.		12.5523	+82.558	10.6	8.12	2.78	22"	2	1	0	Ast24 56
605	NGC 1560		CAM	I						Sp. Gal.	Sd	04.5479	+71.886	12.1	14.95	0.04	7.1' x 2.5'	2	3	0	
349	NGC 1961		CAM	M						Sp. Gal.	Sb	05.7013	+69.378	10.9	12.95	0.84	4.6' x 3.0'	2	3	0	IC 2133, H400 62
863	NGC 2366		CAM	M						Irr. Gal.	I	07.4815	+69.205	10.85	14.16	0.36	8.1' x 3.3'	2	3	1	
386	NGC 2655		CAM	M						Lent. Gal.	S0/Sa	08.9271	+78.218	10.1	13.27	0.71	4.9' x 4.1'	2	3	0	H400 119
658	NGC 2715		CAM	M						Sp. Gal.	Sc	09.1351	+78.085	11.56	14.08	0.39	4.9' x 1.7'	1	3	0	
2838	UGC 3697 CAM	Integral Sign Galaxy	CAM	I						Irr. Gal.		07.1908	+71.835	13.1	12.51	0.32	2.3' x 0.3'	1	2	0	Ast24 14
631	NGC 2268		CAM	I						Sp. Gal.	Sc	07.2421	+84.382	12.02	12.71	0.94	2.0' x 1.2'	1	2	0	
648	IC 529		CAM	I						Sp. Gal.	Sc	09.3102	+73.756	12.0	13.33	0.69	2.4' x 1.7'	1	2	0	
823	IC 334		CAM	M						Irr. Gal.	I	03.7563	+76.638	11.33	12.64	0.96	2.4' x 1.7'	1	1	0	
657	NGC 2748		CAM	M						Sp. Gal.	Sbc	09.2286	+76.475	11.7	11.96	1.24	2.3' x 0.7'	2	2	0	
2032	NGC 2441		CAM	I						Bar. Sp. Gal.	SBc/Sc	07.8651	+73.011	12.7	13.65	-0.14	2.6' x 1.1'	2	2	0	
832	IC 361		CAM	M						Op. Cl.	II1r	04.3167	+58.250	11.7	15.33	-0.11	6'	2	1	0	Cr 48, Mel 24
106	M 44	Praesepe	CNC	B						Op. Cl.	II2m	08.6733	+19.983	3.7	12.06	1.14	95'	3	3	3	NGC 2632, Cr 189, Mel 88
107	M 67	Golden-Eye Cluster	CNC	S						Op. Cl.	II2m	08.8550	+11.817	6.1	13.63	0.51	30'	3	2	0	NGC 2682, Cr 204, Mel 94, Ast24 50
304	C 48		CNC	M						Sp. Gal.	SA(r)ab	09.1723	+07.038	10.4	13.1	0.78	4.3' x 3.3'	2	2	2	NGC 2775, H400 124
