ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
D02257	NGC 4413	galaxy--spiral	Sa	SAab	S	G	2.1 ± 1.1	2.1	Sab	B	R	
D00151	NGC 4414	galaxy--spiral	Sc	SAc	S	G	5.2 ± 0.6	5.2	Sc			
D00906	NGC 4416	galaxy--spiral	SAc	SAc	S	G	5.9 ± 0.5	5.9	Sc	B	R	
F00237	NGC 4417	galaxy--lenticular	S0	S0	L	G	-1.9 ± 0.5	-1.9	S0	B		
D00478	NGC 4419	galaxy--elliptical	E pec	SAa pec	S	G	1.2 ± 0.9	1.2	Sa	B		
D02258	NGC 4420	barred-spiral	SBc	SBc	B	G	4.7 ± 0.9	4.7	SBc	B	R	
F00224	NGC 4421	galaxy--spiral		S0-a	L	G	-0.5 ± 0.8	-0.5	S0-a	B		
D02259	NGC 4424	galaxy--spiral	Sb	SAa	S	G	1.3 ± 1.6	1.3	Sa	B		
F00231	NGC 4425	galaxy--lenticular	S0-Aa	S0-a	L	G	-0.6 ± 1.2	-0.6	S0-a	B		
D00479	NGC 4429	galaxy--lenticular	SA(r)0+	S0-a	L	G	-0.8 ± 1.5	-0.8	S0-a	B	R	
F00234	NGC 4431	galaxy--lenticular	S0	S0	L	G	-2.1 ± 0.7	-2.1	S0	B	R	
F00978	NGC 4434	galaxy--unclassified		E3	E	G	-4.7 ± 0.7	-4.7	E		R	
F00981	NGC 4435	galaxy--lenticular	SB0	S0	L	G	-2.1 ± 0.5	-2.1	S0	B		
F00235	NGC 4436	galaxy--lenticular	S0	S0	L	G	-1.8 ± 0.9	-1.8	S0			
D00185	NGC 4438	galaxy--spiral	Sa	SAa	S	G	0.6 ± 1.5	0.6	Sa			
D00903	NGC 4440	galaxy--spiral	SAa	SAa	S	G	1.1 ± 0.6	1.1	Sa	B	R	
D00481	NGC 4442	galaxy--lenticular	S0	S0	L	G	-1.9 ± 0.4	-1.9	S0	B		
F00238	NGC 4445	galaxy--spiral	SAab	SAab	S	G	2.0 ± 0.8	2	Sab			
F00661	NGC 4446	galaxy--unclassified		SAc	S	G	5.8 ± 0.6	5.8	Sc			
F00662	NGC 4447	galaxy--spiral	S0a	S0	L	G	-1.6 ± 1.6	-1.6	S0	B	R	
D00482	NGC 4448	barred-spiral	Sa	SBab	B	G	1.8 ± 0.6	1.8	SBab	B	R	
D00483	NGC 4450	galaxy--spiral	SA(s)ab	SA(s)ab	S	G	2.4 ± 0.7	2.4	Sab			
F00239	NGC 4451	galaxy--spiral	SAb	SAb	S	G	2.5 ± 2.6	2.5	Sb			
D00691	NGC 4452	galaxy--lenticular	S0	S0	L	G	-1.9 ± 0.8	-1.9	S0	B		
D00686	NGC 4454	galaxy--lenticular	S0-Aa	S0-a	L	G	0.2 ± 0.5	0.2	S0-a	B	R	
D00907	NGC 4457	galaxy--lenticular	S0-Aa	S0-a	L	G	0.3 ± 1.1	0.3	S0-a	B	R	
F00240	NGC 4458	galaxy--elliptical	E0/E1	E3	E	G	-4.9 ± 0.4	-4.9	E			
D00484	NGC 4459	galaxy--lenticular	S0+r	S0	L	G	-1.6 ± 1.1	-1.6	S0		R	
D02260	NGC 4460	barred-spiral	SB0	S0-a	L	G	-1.0 ± 1.4	-1	S0-a	B		
D00186	NGC 4461	galaxy--lenticular	SB(s)0+	S0-a	L	G	-0.7 ± 1.3	-0.7	S0-a	B	R	
D00909	NGC 4462	galaxy--spiral	SB(r)ab	SB(r)ab	B	G	2.1 ± 0.6	2.1	SBab	B	R	
F00241	NGC 4464	galaxy--elliptical	E3	E-S0	L	G	-2.7 ± 3.4	-2.7	E-S0			
