ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
F00042	NGC 1416	galaxy--lenticular	S0	E3	L	G	-4.4 ± 1.3	-4.4	E			
D01974	NGC 1417	galaxy--spiral	Sb	SABb	I	G	3.2 ± 0.7	3.2	SABb	B		
F00043	NGC 1418	galaxy--spiral		SBb	B	G	3.1 ± 0.7	3.1	SBb	B		
D01975	NGC 1421	galaxy--spiral	Sc	SAbc	S	G	4.1 ± 0.5	4.1	Sbc	B		
F00044	NGC 1424	galaxy--spiral		SABb	I	G	3.4 ± 0.9	3.4	SABb	B		
D01000	NGC 1425	galaxy--spiral	Sb	SAb	S	G	3.3 ± 0.8	3.3	Sb			
D00827	NGC 1426	galaxy--elliptical	E2	E3	E	G	-4.9 ± 0.5	-4.9	E			
D01015	NGC 1427	galaxy--elliptical	E5	E3	E	G	-4.0 ± 0.9	-4	E			
F00756	NGC 1428	galaxy--lenticular	S0	E-S0	L	G	-3.0 ± 0.8	-3	E-S0	B		
D01017	NGC 1433	seyfert-galaxy	(R)SB(r)ab	SBa	B	G	1.5 ± 0.7	1.5	SBa	B	R	
D01976	NGC 1436	galaxy--spiral	Sc	SAab	S	G	2.1 ± 1.6	2.1	Sab	B		
D01977	NGC 1439	galaxy--elliptical	E1	E3	E	G	-4.8 ± 0.5	-4.8	E			
D01978	NGC 1440	barred-spiral	SB0	S0	L	G	-2.0 ± 0.6	-2	S0	B		
D01016	NGC 1448	galaxy--spiral	SAcd?	SAc	S	G	6.0 ± 0.3	6	Sc			
D01979	NGC 1452	barred-spiral	SBa:r	S0-a	L	G	0.4 ± 0.7	0.4	S0-a	B	R	
F01341	NGC 1455	galaxy--spiral	Sa:	S0-a	L	G	0.4 ± 0.7	0.4	S0-a	B	R	
D01980	NGC 1461	galaxy--spiral	S0	S0	L	G	-2.0 ± 0.4	-2	S0		R	
D01852	NGC 148	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.5	-2	S0			
F00047	NGC 1481	galaxy--lenticular	S0:	E-S0	L	G	-3.0 ± 0.4	-3	E-S0			
D01981	NGC 1482	galaxy--spiral	SA0+pec	S0-a pec	L	G	-0.8 ± 0.9	-0.8	S0-a			
D01982	NGC 1484	galaxy--spiral	Sc/Irr	SBb	B	G	3.4 ± 1.2	3.4	SBb	B		
D01023	NGC 1487	irregular-galaxy	S	S?	S	M3	7.2 ± 3.1	7.2				
D01022	NGC 1493	galaxy--spiral	SBcd	SBc	B	G	6.0 ± 0.3	6	SBc	B	R	
D00981	NGC 150	barred-spiral	SB(rs)b?	SBbc	B	G	3.5 ± 1.0	3.5	SBbc	B		
D01983	NGC 1507	galaxy--spiral	Sc	SBd	B	G	8.5 ± 1.5	8.5	SBd	B		
D00789	NGC 151	galaxy--spiral	SAbc	SAbc:r	B	G	3.9 ± 0.6	3.9	Sbc	B	R	
F00773	NGC 1510	galaxy--lenticular	S0	S0	L	G	-1.8 ± 1.8	-1.8	S0			
D01031	NGC 1511	irregular-galaxy	S/Ir	SAab	S	G	2.0 ± 2.0	2	Sab			
D01026	NGC 1512	barred-spiral	SBb:r	SAb	S	G	1.2 ± 0.5	1.2	Sa	B	R	
D01021	NGC 1515	barred-spiral	SABb	SABb	I	G	4.0 ± 0.2	4	SABb	B		
D00831	NGC 1518	barred-spiral	SBd/Ir	SBd	B	G	8.1 ± 0.8	8.1	SBd	B		
F00048	NGC 1521	galaxy--elliptical	E	E3	E	G	-4.2 ± 1.3	-4.2	E	B		
D01027	NGC 1527	galaxy--spiral	S0:r	E-S0:r	L	G	-2.9 ± 0.5	-2.9	E-S0	B	R	
F00749	NGC 1531	galaxy--spiral		E-S0	L	G	-2.5 ± 1.5	-2.5	E-S0			
D01025	NGC 1532	barred-spiral	Sbc	SBb	B	G	3.2 ± 0.9	3.2	SBb	B		
D01020	NGC 1533	galaxy--elliptical	E/S0	E-S0	L	G	-2.5 ± 0.6	-2.5	E-S0	B		
D01024	NGC 1537	galaxy--elliptical	E4	E4	E	G	-3.6 ± 0.9	-3.6	E	B		
D01019	NGC 1543	barred-spiral	SB0	S0	L	G	-2.0 ± 0.8	-2	S0	B	R	
D01028	NGC 1546	galaxy--spiral	Sa:	S0-a	L	G	-0.4 ± 1.7	-0.4	S0-a			
F01160	NGC 1549	galaxy--elliptical	E/S0	E3	E	G	-4.3 ± 0.9	-4.3	E	B		
D01029	NGC 1553	galaxy--lenticular	S0	S0	L	G	-2.3 ± 0.6	-2.3	S0		R	
D01018	NGC 1559	seyfert-galaxy	SB(s)cd	SB(s)c	B	G	5.9 ± 0.3	5.9	SBc	B		
D00605	NGC 1560	galaxy--spiral	Sd	SAcd	S	G	7.0 ± 0.3	7	Scd			
D01033	NGC 1566	galaxy--spiral	SABbc	SABb	I	G	4.0 ± 0.2	4	SABb	B		
D00833	NGC 1569	irregular-galaxy	dIm	Im	X	G	9.6 ± 1.0	9.6	IB	B		
D00321	NGC 157	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.0 ± 0.2	4	SABb	B		
D01984	NGC 1574	galaxy--lenticular	S0	E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0	B		
F00049	NGC 1587	galaxy--elliptical	E	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00050	NGC 1588	galaxy--elliptical	cG	E3	E	G	-4.8 ± 0.7	-4.8	E			
D01985	NGC 1589	galaxy--spiral	Sb	SAab	S	G	2.4 ± 0.7	2.4	Sab			
D01034	NGC 1596	galaxy--spiral	S0:	S0	L	G	-2.0 ± 0.5	-2	S0			
D01847	NGC 16	galaxy--spiral	S0	E-S0	L	G	-2.7 ± 0.6	-2.7	E-S0	B		
D00602	NGC 1600	galaxy--elliptical	E3	E3	E	G	-4.6 ± 1.0	-4.6	E			
F00751	NGC 1601	galaxy--lenticular	S0	S0	L	G	-1.7 ± 1.3	-1.7	S0			
F01162	NGC 1602	irregular-galaxy	Ir	SBm	B	G	9.5 ± 0.6	9.5	SBm	B		
F00752	NGC 1603	galaxy--elliptical		S0	L	G	-1.9 ± 1.5	-1.9	S0			
F00753	NGC 1604	galaxy--unclassified		S0	L	G	-2.1 ± 0.7	-2.1	S0			
D01035	NGC 1617	galaxy--spiral	Sa	SBa	B	G	1.1 ± 0.3	1.1	SBa	B		
D01986	NGC 1620	galaxy--spiral	Sc	SABc	I	G	4.5 ± 0.8	4.5	SABc	B		
D01854	NGC 163	galaxy--elliptical	E3	E3	E	G	-4.4 ± 1.3	-4.4	E			
F00896	NGC 1633	barred-spiral	SBa/Sb	SABa	I	G	2.1 ± 0.7	2.1	SABa	B		
F00897	NGC 1634	galaxy--elliptical		E4	E	G	-3.6 ± 1.5	-3.6	E			
D00835	NGC 1637	galaxy--spiral	SAB(rs)c	SA(rs)c	S	G	5.0 ± 0.4	5	Sc	B		
D01988	NGC 1638	barred-spiral	SB0rs	S0	L	G	-1.9 ± 1.3	-1.9	S0	B		
D00836	NGC 1640	barred-spiral	SB(r)b	SAb	S	G	3.0 ± 0.3	3	Sb	B	R	
D01989	NGC 1642	galaxy--spiral	Sc	SAc	S	G	5.2 ± 0.5	5.2	Sc			
F00613	NGC 165	galaxy--spiral	SAbc	SAbc	S	G	4.1 ± 0.5	4.1	Sbc	B		
D01991	NGC 1653	galaxy--elliptical	E0	E3	E	G	-4.5 ± 0.6	-4.5	E			
F00051	NGC 1654	galaxy--spiral		SBa	B	G	1.0 ± 0.5	1	SBa	B	R	
D01992	NGC 1666	galaxy--spiral	S0-a	S0-a	L	G	-1.0 ± 0.5	-1	S0-a	B	R	
F00052	NGC 1667	galaxy--spiral	Sc	SABc	I	G	5.0 ± 0.5	5	SABc	B	R	
D01037	NGC 1672	galaxy--spiral	SAb	SAb	S	G	3.3 ± 0.6	3.3	Sb	B		
D01055	NGC 1679	barred-spiral	SBm	SBm	B	G	9.4 ± 0.9	9.4	SBm	B		
D01993	NGC 1688	barred-spiral	SBb	SBc	B	G	6.1 ± 1.4	6.1	SBc	B		
F00057	NGC 1699	galaxy--spiral	Sb	SAb	S	G	3.1 ± 0.6	3.1	Sb			
D01996	NGC 1700	galaxy--elliptical	E4	E3	E	G	-4.7 ± 0.9	-4.7	E			
D01997	NGC 1703	galaxy--spiral	Sc	SBb	B	G	3.2 ± 0.8	3.2	SBb	B	R	
D01998	NGC 1705	galaxy--spiral	S0:	E-S0	L	G	-2.7 ± 0.8	-2.7	E-S0			
F00061	NGC 1721	barred-spiral	SBb	S0	L	G	-2.0 ± 0.8	-2	S0	B	R	
D01999	NGC 1723	galaxy--spiral	Sa	SAa	S	G	1.2 ± 0.8	1.2	Sa	B	R	
F00062	NGC 1725	galaxy--lenticular	S0	E-S0	L	G	-2.6 ± 0.6	-2.6	E-S0			
F00063	NGC 1728	galaxy--spiral	Sa	SAa	S	G	1.1 ± 0.9	1.1	Sa			
D00609	NGC 1744	barred-spiral	SBd	SBcd	B	G	6.8 ± 1.4	6.8	SBcd	B		
D01855	NGC 175	barred-spiral	SBb:r	SBab	S	G	2.2 ± 0.5	2.2	Sab	B	R	
D00610	NGC 1784	barred-spiral	SB(r)c	SA(r)c	S	G	4.8 ± 0.7	4.8	Sc	B	R	
D00607	NGC 1792	galaxy--spiral	Sc	SAbc	S	G	4.0 ± 0.2	4	Sbc	B		
D01856	NGC 180	barred-spiral	SBc	SBc	B	G	4.6 ± 0.9	4.6	Sc	B		
D02001	NGC 1800	galaxy--spiral	Sa:	S?	S	G	8.0 ± 4.1	8	S?	B		
D00608	NGC 1808	barred-spiral	(R)SAB(s)a	SA(s)a	S	G	1.2 ± 0.5	1.2	Sa	B	R	
F01199	NGC 1809	galaxy--unclassified		SAc	S	G	5.0 ± 0.5	5	Sc			
F01435	NGC 182	galaxy--spiral	Sa	SABa	I	G	1.0 ± 0.4	1	SABa	B		
D02002	NGC 1832	barred-spiral	SBb	SAbc	S	G	4.0 ± 0.1	4	Sbc	B	R	
D02003	NGC 1843	galaxy--spiral	Sc	SABc	I	G	6.0 ± 0.5	6	SABc	B		
F01436	NGC 186	barred-spiral	SB0a	S0-a	L	G	-0.7 ± 0.6	-0.7	S0-a	B		
D02004	NGC 1888	galaxy--spiral	Sc	SBc	B	G	5.0 ± 0.4	5	SBc	B		
F00071	NGC 1889	galaxy--elliptical	E	E3	E	G	-4.1 ± 0.6	-4.1	E			
D02649	NGC 1892	galaxy--spiral	SAc	SAc	S	G	5.3 ± 1.3	5.3	Sc			
D01858	NGC 191	galaxy--spiral	SAc	SAc	S	G	4.9 ± 0.8	4.9	Sc	B		
D01859	NGC 192	galaxy--spiral	SAa	SAa	S	G	1.1 ± 0.7	1.1	Sa	B	R	
F01437	NGC 194	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
D01057	NGC 1947	galaxy--lenticular	S0p	E-S0 pec	L	G	-2.8 ± 0.5	-2.8	E-S0			
F01075	NGC 195	galaxy--spiral	SAa	SAa	S	G	1.1 ± 1.6	1.1	Sa	B	R	
D00614	NGC 1954	galaxy--spiral	Sc	SAbc	S	G	4.4 ± 0.6	4.4	Sbc			
F00801	NGC 1957	galaxy--unclassified		E-S0	L	G	-3.0 ± 2.0	-3	E-S0			
F01076	NGC 196	galaxy--unclassified		S0	L	G	-2.0 ± 0.5	-2	S0	B		
D00349	NGC 1961	galaxy--spiral	Sb	SABb	I	G	4.2 ± 1.0	4.2	SABb	B		
D00613	NGC 1964	barred-spiral	Sb	SABb	I	G	3.4 ± 0.7	3.4	SABb	B		
F01077	NGC 197	galaxy--unclassified		S0-a	L	G	-1.4 ± 2.1	-1.4	S0-a	B		
D02005	NGC 1979	galaxy--lenticular	S0	E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0			
F01438	NGC 198	galaxy--spiral	Sc	SAc	S	G	5.2 ± 0.5	5.2	Sc		R	
F01440	NGC 199	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
F01427	NGC 2	galaxy--spiral	Sab	SAab	S	G	2.0 ± 0.4	2	Sab			
D02676	NGC 200	galaxy--spiral	SAbc	SAbc	S	G	4.0 ± 0.3	4	Sbc	B		
F01078	NGC 201	barred-spiral	SBb	SAc	S	G	5.0 ± 0.6	5	Sc	B	R	
D02007	NGC 2076	galaxy--lenticular	S0	S0-a	L	G	-0.8 ± 1.1	-0.8	S0-a			
F01439	NGC 208	galaxy--spiral	SAa	SAa	S	G	1.0 ± 0.5	1	Sa		R	
D02008	NGC 2089	galaxy--lenticular	S0	E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0	B		
D02009	NGC 2090	galaxy--spiral	Sb	SAbc	S	G	4.5 ± 1.8	4.5	Sbc			
D01860	NGC 210	galaxy--spiral	Sb	SABb	I	G	3.1 ± 0.8	3.1	SABb	B		
D00617	NGC 2139	galaxy--spiral	SAB(rs)cd	SA(rs)c	S	G	5.9 ± 0.4	5.9	Sc	B		
D01861	NGC 214	galaxy--spiral	Sc	SABc	I	G	5.0 ± 0.6	5	SABc	B	R	
D00622	NGC 2146	barred-spiral	Sc	SBab	B	G	2.3 ± 0.7	2.3	SBab	B		
F01068	NGC 2146A	galaxy--spiral	Sc	SABc	I	G	5.2 ± 0.5	5.2	SABc	B		
F01306	NGC 2150	galaxy--unclassified		SAab	S	G	1.9 ± 0.6	1.9	Sab	B	R	
D01862	NGC 217	galaxy--spiral	S0a	SBa	B	G	0.7 ± 1.5	0.7	SBa	B		
F01325	NGC 2178	galaxy--lenticular	S0	E3	E	G	-4.7 ± 0.9	-4.7	E			
D02010	NGC 2179	galaxy--spiral	Sa	S0-a	L	G	0.1 ± 0.8	0.1	S0-a	B		
D01175	NGC 2188	barred-spiral	SBm	SBm	B	G	8.9 ± 0.3	8.9	SBm	B		
D02011	NGC 2196	galaxy--spiral	Sab	SAa	S	G	1.2 ± 0.7	1.2	Sa		R	
F01428	NGC 22	galaxy--spiral	Sb	SAb	S	G	3.0 ± 0.4	3	Sb			
D02012	NGC 2206	galaxy--spiral	Sc	SAbc	S	G	4.3 ± 0.7	4.3	Sbc	B		
D00845	NGC 2207	galaxy--spiral	SAB(rs)bc	SAB(rs)c	I	G	4.6 ± 0.7	4.6	SABc	B	R	
D02013	NGC 2208	galaxy--spiral	S0	S0	L	G	-1.9 ± 0.5	-1.9	S0			
D00844	NGC 2217	barred-spiral	SBa	S0-a	L	G	-0.6 ± 0.6	-0.6	S0-a	B	R	
D02014	NGC 2223	barred-spiral	SBbc	SAbc	S	G	3.8 ± 1.0	3.8	Sbc	B	R	
D02017	NGC 2263	galaxy--spiral	Sa:r	SBab	B	G	2.2 ± 0.9	2.2	SBab	B	R	
D00631	NGC 2268	galaxy--spiral	Sc	SAbc	S	G	4.0 ± 0.3	4	Sbc	B	R	
D00852	NGC 2272	galaxy--lenticular	S0	E-S0	L	G	-3.0 ± 0.4	-3	E-S0	B		
D02018	NGC 2276	galaxy--spiral	Sc	SABc	I	G	5.4 ± 0.6	5.4	SABc	B	R	
D00635	NGC 2280	galaxy--spiral	SA(s)cd	SA(s)c	S	G	5.9 ± 0.4	5.9	Sc			
D02019	NGC 2283	galaxy--spiral	Sc	SAc	S	G	5.9 ± 0.4	5.9	Sc	B		
F00077	NGC 2292	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.5	-2	S0	B		
D00853	NGC 2293	galaxy--lenticular	E/S0	S0-a	L	G	-1.0 ± 0.6	-1	S0-a	B		
F00078	NGC 2295	galaxy--spiral	S0a	SAab	S	G	1.9 ± 0.7	1.9	Sab			
D01848	NGC 23	barred-spiral	SBa	SBa	B	G	1.2 ± 0.5	1.2	Sa	B		
F00075	NGC 2300	galaxy--elliptical	E	E-S0	L	G	-3.4 ± 1.4	-3.4	E-S0			
D02020	NGC 2305	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.5	-4.9	E			
F00079	NGC 2307	barred-spiral	SBa	SBb	B	G	2.9 ± 0.6	2.9	SBb	B		
D01178	NGC 2310	galaxy--spiral	S0	S0	L	G	-2.0 ± 0.5	-2	S0			
D00856	NGC 2314	galaxy--elliptical	E/S0	E3	E	G	-4.7 ± 0.7	-4.7	E			
D02021	NGC 2325	galaxy--elliptical	E4	E3	E	G	-4.8 ± 0.5	-4.8	E	B		
D02022	NGC 2336	barred-spiral	SBc	SAbc	S	G	4.0 ± 0.3	4	Sbc	B	R	
D02023	NGC 2339	galaxy--spiral	SAB(rs)bc	SA(rs)bc	S	G	4.0 ± 0.1	4	Sbc	B	R	
D02024	NGC 2341	galaxy--spiral	SAc	SAc	S	G	4.9 ± 1.9	4.9	Sc			
F00081	NGC 2342	galaxy--spiral	Spec	SAc pec	S	G	5.9 ± 1.6	5.9	Sc			
D02025	NGC 2344	galaxy--spiral	SABb	SABb	B	G	4.3 ± 1.1	4.3	SABb	B		
D02026	NGC 2347	galaxy--spiral	Sb	SAb	S	G	3.1 ± 0.6	3.1	Sb		R	
F00585	NGC 2363	irregular-galaxy	Im	Im	X	h	9.7 ± 0.8	9.7	I			
D00863	NGC 2366	irregular-galaxy	IB	IBm	X	G	9.8 ± 0.6	9.8	IB	B		
D02029	NGC 2397	barred-spiral	SBsb	SBb	B	G	3.0 ± 0.6	3	SBb	B		
D00786	NGC 24	galaxy--spiral	Sc	SAc	S	G	5.1 ± 0.4	5.1	Sc			
D01187	NGC 2427	galaxy--spiral	Sc	SABd	I	G	7.7 ± 0.9	7.7	SABd	B		
D02031	NGC 2435	galaxy--spiral	Sb	SABa	I	G	1.0 ± 0.4	1	SABa	B		
D02032	NGC 2441	barred-spiral	SBc/Sc	SABb	I	G	3.3 ± 0.9	3.3	SABb	B	R	
F00946	NGC 2442	galaxy--elliptical	E0/1	SAbc	S	G	3.7 ± 0.6	3.7	Sbc	B		
D01181	NGC 2442	barred-spiral	SAB(s)bcpec	SA(s)bc pec	S	G	3.7 ± 0.6	3.7	Sbc	B		
D02033	NGC 2460	galaxy--spiral	Sb	SAab	S	G	1.9 ± 1.0	1.9	Sab			
F00084	NGC 2486	galaxy--spiral		SBa	B	G	1.2 ± 0.7	1.2	SBa	B	R	
D02034	NGC 2487	galaxy--spiral	SAb	SAb	S	G	3.1 ± 0.5	3.1	Sb	B	R	
D02035	NGC 2493	barred-spiral	SBa	S0	L	G	-1.9 ± 0.4	-1.9	S0	B		
F00810	NGC 2495	galaxy--unclassified		SAd	S	G	7.5 ± 3.0	7.5	Sd			
F01346	NGC 2498	galaxy--unclassified		SAa	S	G	1.2 ± 0.7	1.2	Sa	B	R	
D00646	NGC 2500	galaxy--spiral	SBd	SAcd	S	G	7.0 ± 0.3	7	Scd	B		
D02036	NGC 2501	galaxy--lenticular	SB0	S0	L	G	-2.0 ± 0.5	-2	S0	B	R	
F01100	NGC 2510	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0		R	
F01101	NGC 2511	galaxy--unclassified		SAab	S	G	2.0 ± 2.0	2	Sab			
D02037	NGC 2513	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
D01864	NGC 252	galaxy--lenticular	S0	S0-a	L	G	-1.2 ± 0.7	-1.2	S0-a		R	
D02038	NGC 2523	barred-spiral	SBb	SAbc	S	G	4.0 ± 0.2	4	Sbc	B	R	
F00085	NGC 2523B	galaxy--elliptical		SAb	S	G	3.0 ± 0.3	3	Sb			
F01069	NGC 2523C	galaxy--elliptical		E3	E	G	-4.9 ± 0.6	-4.9	E			
D00864	NGC 2525	barred-spiral	SBc	SAc	S	G	5.1 ± 0.5	5.1	Sc	B		
D02039	NGC 2535	galaxy--spiral	SA(r)c pec	SB(r)c pec	B	G	5.0 ± 0.4	5	SBc	B	R	
F00086	NGC 2536	galaxy--spiral		SAc	S	G	5.0 ± 0.7	5	Sc	B		
D00647	NGC 2537	dwarf-galaxy	SBm	SBm	B	G	8.8 ± 1.1	8.8	SBm	B		
D00991	NGC 254	galaxy--lenticular	S0	S0-a	L	G	-1.2 ± 1.0	-1.2	S0-a	B	R	
D00866	NGC 2541	galaxy--spiral	SBc	SABc	I	G	6.0 ± 0.4	6	SABc	B		
D02040	NGC 2543	barred-spiral	SBcr	SAb	S	G	3.0 ± 0.3	3	Sb	B	R	
D02041	NGC 2545	barred-spiral	SBbcr	SAab	S	G	2.3 ± 0.9	2.3	Sab	B	R	
D02042	NGC 2549	barred-spiral	SB0	S0	L	G	-2.0 ± 0.4	-2	S0	B	R	
D01865	NGC 255	barred-spiral	SBc	SAbc	S	G	4.1 ± 0.6	4.1	Sbc	B		
D02043	NGC 2551	galaxy--lenticular	S0-a	S0-a	L	G	0.5 ± 1.1	0.5	S0-a			
D02044	NGC 2552	galaxy--spiral	SAm	SABm	I	G	9.0 ± 0.6	9	SABm	B	R	
D01203	NGC 2559	galaxy--spiral	Sc	SBc	B	G	4.5 ± 0.8	4.5	SBc	B		
F01102	NGC 2560	galaxy--unclassified		S0-a	L	G	-0.1 ± 0.7	-0.1	S0-a			
F00088	NGC 2562	galaxy--spiral		S0-a	L	G	-0.1 ± 0.6	-0.1	S0-a	B	R	
D02045	NGC 2563	galaxy--lenticular	S0	S0	L	G	-2.2 ± 0.8	-2.2	S0			
D02046	NGC 2565	galaxy--spiral	SAbc	SAbc	S	G	3.7 ± 0.7	3.7	Sbc	B	R	
D00865	NGC 2566	barred-spiral	SBa	SAb	S	G	2.7 ± 0.7	2.7	Sb	B		
F01103	NGC 2569	galaxy--elliptical		E3	E	G	-4.4 ± 1.2	-4.4	E			
F01104	NGC 2570	galaxy--unclassified		SAab	S	G	2.0 ± 0.5	2	Sab		R	
D02047	NGC 2577	galaxy--spiral	S0	E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0			
F01040	NGC 258	galaxy--unclassified		SAbc	S	G	3.9 ± 2.5	3.9	Sbc			
D02049	NGC 2591	galaxy--spiral	Sc	SAc	S	G	5.9 ± 0.5	5.9	Sc			
D02050	NGC 2592	galaxy--spiral	Sa	E3	E	G	-4.8 ± 0.7	-4.8	E			
F01105	NGC 2594	galaxy--unclassified		S0	L	G	-2.5 ± 1.5	-2.5	S0	B		
D02051	NGC 2599	galaxy--spiral	Sa	SAa	S	G	1.0 ± 0.4	1	Sa		R	
F01429	NGC 26	galaxy--spiral	Sb	SAab	S	G	2.4 ± 0.6	2.4	Sab		R	
F01041	NGC 260	galaxy--unclassified	S/I	SAc	S	G	5.6 ± 0.6	5.6	Sc			
D00384	NGC 2613	galaxy--spiral	Sb	SAb	S	G	3.1 ± 0.5	3.1	Sb			
F00089	NGC 2614	galaxy--spiral	Sc	SAc	S	G	5.2 ± 0.5	5.2	Sc		R	
D02052	NGC 2618	galaxy--spiral	Sab	SAab	S	G	1.5 ± 0.6	1.5	Sab		R	
D02053	NGC 2619	barred-spiral	SBcr	SAbc	S	G	4.1 ± 0.6	4.1	Sbc	B		
D02054	NGC 2629	galaxy--elliptical	E3	E-S0	L	G	-3.2 ± 1.4	-3.2	E-S0		R	
D02055	NGC 2633	barred-spiral	SBb	SAb	S	G	3.0 ± 0.3	3	Sb	B	R	
F00090	NGC 2634	galaxy--elliptical		E3	E	G	-4.9 ± 0.4	-4.9	E			
F00091	NGC 2634A	galaxy--spiral		SBbc	B	G	4.0 ± 0.4	4	SBbc	B		UGC 4585
F00486	NGC 2636	galaxy--unclassified	cG	E3	E	G	-5.0 ± 0.5	-5	E			
F00626	NGC 2637	galaxy--unclassified		SBc	B	G	5.2 ± 3.0	5.2	SBc	B		
D00867	NGC 2639	galaxy--spiral	Sa(r)	SAa(r)	S	G	0.8 ± 0.8	0.8	Sa		R	
F01536	NGC 2641	galaxy--spiral	S0:	S0	L	G	-2.0 ± 0.5	-2	S0			
F00627	NGC 2643	galaxy--unclassified		S0-a	L	G	-1.0 ± 2.0	-1	S0-a			
F00485	NGC 2646	barred-spiral	SB0	S0	L	G	-2.0 ± 0.4	-2	S0	B	R	
D00868	NGC 2648	galaxy--spiral	Sa	SAa	S	G	1.1 ± 0.6	1.1	Sa			
D02056	NGC 2649	galaxy--spiral	SABb	SABb	I	G	3.9 ± 0.5	3.9	SABb	B	R	
D02057	NGC 2654	barred-spiral	SBab	SBab	B	G	2.0 ± 0.3	2	SBab	B		
D00386	NGC 2655	galaxy--lenticular	S0/Sa	S0-a	L	G	0.1 ± 0.5	0.1	S0-a	B		
D01867	NGC 266	barred-spiral	SBabrs	SAab	S	G	1.6 ± 0.7	1.6	Sab	B		
D02059	NGC 2663	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
D02060	NGC 2665	barred-spiral	SBa:r	SAa:r	S	G	1.0 ± 0.4	1	Sa	B	R	
F00631	NGC 2667	galaxy--unclassified		SAa	S	G	1.0 ± 2.0	1	Sa			
D00869	NGC 2672	galaxy--elliptical	E+cG	E+cG	E	G	-4.8 ± 0.4	-4.8	E			
F00629	NGC 2673	galaxy--elliptical	E+cG	E+cG	E	G	-4.8 ± 0.6	-4.8	E			
F00634	NGC 2677	galaxy--unclassified		E?	E	G	-1.2 ± 4.8	-1.2	E?			
D00387	NGC 2681	galaxy--lenticular	(R')SAB(rs)0/a	S0-a(rs)	L	G	0.4 ± 0.6	0.4	S0-a	B	R	
D00165	NGC 2683	galaxy--spiral	Sb	SAb	S	G	3.0 ± 0.4	3	Sb			
D00652	NGC 2685	galaxy--lenticular	0	S0-a	L	G	-1.0 ± 1.0	-1	S0-a	B	R	
D00870	NGC 2693	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00917	NGC 2694	galaxy--unclassified	E3	E3	E	G	-4.8 ± 0.7	-4.8	E			
F00092	NGC 2698	galaxy--spiral		S0-a	L	G	-1.1 ± 1.3	-1.1	S0-a			
F00093	NGC 2699	galaxy--elliptical		E3	E	G	-5.0 ± 0.5	-5	E			
D02062	NGC 2701	galaxy--spiral	SAc	SAc	S	G	5.3 ± 0.6	5.3	Sc	B		
D02063	NGC 2708	galaxy--spiral	SABb	SABb	I	G	3.1 ± 0.7	3.1	SABb	B		
F01347	NGC 2709	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.5	-2	S0			
D02064	NGC 2712	barred-spiral	SB(r)b:	SB(r)b:	B	G	3.1 ± 0.5	3.1	SBb	B	R	
D02065	NGC 2713	barred-spiral	SBb	SBb	B	G	2.6 ± 0.7	2.6	SBb	B	R	
D00658	NGC 2715	galaxy--spiral	Sc	SABc	I	G	5.2 ± 0.5	5.2	SABc	B		
F00094	NGC 2716	galaxy--spiral		S0-a	L	G	-1.2 ± 0.6	-1.2	S0-a	B	R	
F00006	NGC 273	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
D02066	NGC 2732	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
F00005	NGC 274	galaxy--elliptical	E/S0	E-S0	L	G	-2.8 ± 0.5	-2.8	E-S0	B	R	
D00650	NGC 2742	galaxy--spiral	SAc	SAc	S	G	5.2 ± 0.6	5.2	Sc			
D00657	NGC 2748	galaxy--spiral	Sbc	SAbc	S	G	4.0 ± 0.1	4	Sbc			
D01868	NGC 275	barred-spiral	SBcd	SBc	B	G	6.0 ± 0.3	6	SBc	B		
D02067	NGC 2750	galaxy--spiral	SAbc	SABc	I	G	5.2 ± 0.7	5.2	SABc	B		
F01106	NGC 2753	galaxy--unclassified		SBab	B	G	1.5 ± 1.5	1.5	SBab	B		
D02068	NGC 2756	galaxy--spiral	SAb	SAb	S	G	3.0 ± 0.4	3	Sb	B		
D02069	NGC 2763	galaxy--spiral	Sc	SBc	B	G	5.7 ± 0.6	5.7	SBc	B	R	
D02070	NGC 2765	barred-spiral	SB0	S0	L	G	-1.8 ± 0.9	-1.8	S0	B		
